subject,rho,pval,zscore,task,dataset,age,age_months,movie_FD,Age,AgeGroup1,sex,Unnamed: 0,session
sub-272,0.0662862275069664,0.1638361638361638,1.3838201216579595,piemanpni,narratives,19.0,228.0,,,,,,
sub-273,0.3719899273274523,0.0009990009990009,7.71870166689977,piemanpni,narratives,20.0,240.0,,,,,,
sub-274,0.3321038841078527,0.0009990009990009,6.884690752656742,piemanpni,narratives,50.0,600.0,,,,,,
sub-275,0.4066469281254529,0.0009990009990009,7.939009461491789,piemanpni,narratives,19.0,228.0,,,,,,
sub-276,0.4777385106764048,0.0009990009990009,9.29583536682253,piemanpni,narratives,21.0,252.0,,,,,,
sub-277,-0.0437719034374393,0.3606393606393606,-0.8359938028396308,piemanpni,narratives,19.0,228.0,,,,,,
sub-279,0.0239876051795332,0.6403596403596403,0.4673243838931403,piemanpni,narratives,20.0,240.0,,,,,,
sub-281,-0.2411946140756133,0.0009990009990009,-4.941205054257541,piemanpni,narratives,22.0,264.0,,,,,,
sub-282,0.1710199287945365,0.0009990009990009,3.36681052705846,piemanpni,narratives,19.0,228.0,,,,,,
sub-283,0.1538709138307918,0.0019980019980019,3.162769031310349,piemanpni,narratives,19.0,228.0,,,,,,
sub-284,0.5078809283928672,0.0009990009990009,9.9774696443847,piemanpni,narratives,21.0,252.0,,,,,,
sub-285,0.1907473710596607,0.0009990009990009,3.80105185708656,piemanpni,narratives,22.0,264.0,,,,,,
sub-286,0.1155304890013139,0.0179820179820179,2.2794818676234643,piemanpni,narratives,18.0,216.0,,,,,,
sub-287,-0.1527093403769869,0.0019980019980019,-3.1198932220445466,piemanpni,narratives,21.0,252.0,,,,,,
sub-288,0.1527724542656914,0.0029970029970029,2.990637470069473,piemanpni,narratives,25.0,300.0,,,,,,
sub-289,0.2858846677444923,0.0009990009990009,5.763646624031805,piemanpni,narratives,18.0,216.0,,,,,,
sub-290,0.3805235605805374,0.0009990009990009,7.549806811398717,piemanpni,narratives,26.0,312.0,,,,,,
sub-291,0.3790197394531303,0.0009990009990009,7.480659745862188,piemanpni,narratives,18.0,216.0,,,,,,
sub-292,0.4134942547602786,0.0009990009990009,8.36948612914861,piemanpni,narratives,18.0,216.0,,,,,,
sub-293,0.022840004707174,0.6373626373626373,0.4645579179788693,piemanpni,narratives,20.0,240.0,,,,,,
sub-294,0.4237187594955784,0.0009990009990009,8.686993446965799,piemanpni,narratives,19.0,228.0,,,,,,
sub-295,0.2008244040505187,0.0009990009990009,4.114528960545001,piemanpni,narratives,18.0,216.0,,,,,,
sub-296,0.3426073974063821,0.0009990009990009,7.180153979286115,piemanpni,narratives,38.0,456.0,,,,,,
sub-297,0.143729150378992,0.0039960039960039,2.89098059265041,piemanpni,narratives,21.0,252.0,,,,,,
sub-299,0.3229144562685486,0.0009990009990009,6.295632709781425,piemanpni,narratives,18.0,216.0,,,,,,
sub-300,0.3574562640912912,0.0009990009990009,7.269573214321071,piemanpni,narratives,53.0,636.0,,,,,,
sub-301,0.3632141554113542,0.0009990009990009,7.385940283037027,piemanpni,narratives,19.0,228.0,,,,,,
sub-302,0.1955014467697901,0.0009990009990009,3.83874965563857,piemanpni,narratives,18.0,216.0,,,,,,
sub-304,0.4296169932864782,0.0009990009990009,8.407312187788774,piemanpni,narratives,25.0,300.0,,,,,,
sub-307,0.2923813494713305,0.0009990009990009,6.00251898127535,piemanpni,narratives,20.0,240.0,,,,,,
sub-308,0.3933633241278267,0.0009990009990009,7.945532810142316,piemanpni,narratives,22.0,264.0,,,,,,
sub-310,0.4596658871146823,0.0009990009990009,9.19721500726369,piemanpni,narratives,28.0,336.0,,,,,,
sub-311,0.0320185937945126,0.5294705294705294,0.6658549884085255,piemanpni,narratives,22.0,264.0,,,,,,
sub-312,0.300650398451187,0.0009990009990009,5.780175540594003,piemanpni,narratives,19.0,228.0,,,,,,
sub-313,0.3555095310096682,0.0009990009990009,7.148069570576118,piemanpni,narratives,26.0,312.0,,,,,,
sub-314,0.3756432871288166,0.0009990009990009,7.467122202944525,piemanpni,narratives,25.0,300.0,,,,,,
sub-315,0.2202275015748464,0.0009990009990009,4.414318021787546,piemanpni,narratives,35.0,420.0,,,,,,
sub-pixar001,0.1837798304122944,0.0009990009990009,3.622246247415389,partlycloudy,partlycloudy,,57.297741275999996,0.3892536234011973,4.774811773,U05,M,,
sub-pixar002,0.1901146526811772,0.0009990009990009,3.939167273195925,partlycloudy,partlycloudy,,58.283367552,0.345567280805988,4.856947296,U05,F,,
sub-pixar003,0.1088826840980163,0.0249750249750249,2.1645862700906098,partlycloudy,partlycloudy,,49.839835728,0.3271215356356887,4.153319644,U05,F,,
sub-pixar004,0.1221022172758539,0.0169830169830169,2.429889996822724,partlycloudy,partlycloudy,,53.683778232,0.3812978708958083,4.473648186,U05,F,,
sub-pixar005,0.3052721875385457,0.0009990009990009,6.238119994897176,partlycloudy,partlycloudy,,58.05338809199999,0.1317358863395209,4.837782341,U05,F,,
sub-pixar006,-0.0168729363782166,0.7162837162837162,-0.4204657840262608,partlycloudy,partlycloudy,,43.268993844,0.936601723053892,3.605749487,U05,F,,
