Unnamed: 0,measure,region_name,score,task,subject_id,dataset,age_months
83343,TPHATE_DiffOp_IDE,17Networks_LH_ContC_pCun_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83344,TPHATE_DiffOp_IDE,17Networks_LH_ContC_pCun_2,9.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83345,TPHATE_DiffOp_IDE,17Networks_LH_ContC_pCun_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83346,TPHATE_DiffOp_IDE,17Networks_LH_ContC_Cingp_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83347,TPHATE_DiffOp_IDE,17Networks_LH_ContC_Cingp_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83348,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_IPL_1,9.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83349,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_IPL_2,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83350,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_PFCd_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83351,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_PFCd_2,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83352,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_PFCd_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83353,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_pCunPCC_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83354,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_pCunPCC_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83355,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_pCunPCC_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83356,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_pCunPCC_4,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83357,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_pCunPCC_5,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83358,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_pCunPCC_6,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83359,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_pCunPCC_7,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
